ut,作者,题名,刊名,年,卷,期,issn,页码,单位,论文类型,影响因子,大类分区,二级单位,作者,备注
WOS:000380754700007,"Qi, Wenhai^Gao, Xianwen",H-infinity observer design for stochastic time-delayed systems with Markovian switching under partly known transition rates and actuator saturation,APPLIED MATHEMATICS AND COMPUTATION,2016,289,,0096-3003,80-97,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.738,2,信息学院,高宪文,
WOS:000370699800009,"Qi, Wenhai^Gao, Xianwen",Finite-time L-1 control for positive Markovian jump systems with constant time delay and partly known transition rates,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,2016,38,3,0142-3312,348-355,"Northeastern Univ, Coll Informat Sci & Engn, 3-11 Wenhua Rd, Shenyang 110819, Peoples R China",Article,1.049,4,信息学院,高宪文,
WOS:000388679700005,"Wang, Lina^Gao, Xianwen^Liu, Tan",Gas pipeline small leakage feature extraction based on LMD envelope spectrum entropy and PCA-RWSVM,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,2016,38,12,0142-3312,1460-1470,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.049,4,信息学院,高宪文,
WOS:000379934600004,"Qi, Wenhai^Gao, Xianwen",Robust H control for stochastic time-delayed Markovian switching systems under partly known transition rates and actuator saturation via anti-windup design,OPTIMAL CONTROL APPLICATIONS & METHODS,2016,37,4,0143-2087,608-626,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.558,4,信息学院,高宪文,
WOS:000372301400017,"Wang, Jiyang^Qi, Wenhai^Gao, Xianwen",Finite-Time Control for Positive Markovian Jump Systems with Partly Known Transition Rates,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,2016,35,5,0278-081X,1751-1766,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.694,4,信息学院,高宪文,
WOS:000382033600006,"Qi, Wenhai^Gao, Xianwen^Wang, Jiyang",Finite-Time Passivity and Passification for Stochastic Time-Delayed Markovian Switching Systems with Partly Known Transition Rates,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,2016,35,11,0278-081X,3913-3934,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.694,4,信息学院,高宪文,
WOS:000382969600008,"Qi, Wenhai^Gao, Xianwen^Kao, Yonggui",Passivity and passification for stochastic Markovian jump systems with incomplete transition rates and actuator saturation,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,2016,230,12,0954-4100,2241-2248,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.809,4,信息学院,高宪文,
WOS:000376830800001,"Gao, Xianwen^Lian, Lian^Qi, Wenhai",H-infinity Control for Sochastic Time-delayed Markovian Switching Systems with Partly Known Transition Rates and Input Saturation,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2016,14,3,1598-6446,637-646,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.687,4,信息学院,高宪文,
WOS:000389865500003,"Qi, Wenhai^Gao, Xianwen",Positive L-1-gain Filter Design for Positive Continuous-time Markovian Jump Systems with Partly Known Transition Rates,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2016,14,6,1598-6446,1413-1420,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.687,4,信息学院,高宪文,
WOS:000385422800021,"Qi, Wenhai^Gao, Xianwen^Kao, Yonggui",Passivity and passification for switching Markovian jump systems with time-varying delay and generally uncertain transition rates,IET CONTROL THEORY AND APPLICATIONS,2016,10,15,1751-8644,1944-1955,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,2.536,3,信息学院,高宪文,
WOS:000374405100015,Zhao Shi-tie^Gao Xian-wen,Robust adaptive control for a class of uncertain non-affine nonlinear systems using neural state feedback compensation,JOURNAL OF CENTRAL SOUTH UNIVERSITY,2016,23,3,2095-2899,636-643,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.601,4,信息学院,高宪文,
WOS:000374152400008,"Yu, Miao^Gong, Jun^Tang, Jiafu",Optimal design of a multi-server queueing system with delay information,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,2016,116,1,0263-5577,147-169,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,2.205,3,信息学院,宫俊,
WOS:000376072800019,"He, Dakuo^Yuan, Qingyun^Wang, Fuli^Zhao, Luping^Liu, Tan^Jia, Runda",Plant-wide hierarchical optimization based on a minimum consumption model,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2016,94,6,0008-4034,1158-1166,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article; Proceedings Paper,1.356,4,信息学院,何大阔,
WOS:000390016800001,"He, Dakuo^Wang, Zhengsong^Yang, Le^Liu, Tongshan^Yao, Yao^Mao, Zhizhong",Modeling and Optimization of the Drug Extraction Production Process,SCIENTIFIC PROGRAMMING,2016,,,1058-9244,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,0.627,4,信息学院,何大阔,
WOS:000373922400001,"He, Dakuo^Xi, Changjiang^Lu, Anyang",Fault detection for switched T-S fuzzy systems in finite frequency domain,ADVANCES IN DIFFERENCE EQUATIONS,2016,,,1687-1847,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,0.335,4,信息学院,何大阔,
WOS:000376310900001,"He, Dakuo^Wang, Zhengsong^Yang, Le^Mao, Zhizhong",Optimization Control of the Color-Coating Production Process for Model Uncertainty,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2016,,,1687-5265,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,1.215,4,信息学院,何大阔,
WOS:000373713300079,"Su, Zhiqi^He, Qing^Xie, Zhi",Indirect measurement of molten steel level in tundish based on laser triangulation,REVIEW OF SCIENTIFIC INSTRUMENTS,2016,87,3,0034-6748,-,"Northeastern Univ, Sch Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,1.515,3,信息学院,何庆,
WOS:000372689700009,"He, Qing^Xie, Zhi^Xuan, Haijun^Hong, Weirong",Ballistic testing and theoretical analysis for perforation mechanism of the fan casing and fragmentation of the released blade,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,2016,91,,0734-743X,80-93,"Northeastern Univ, Sch Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,2.938,2,信息学院,何庆,
WOS:000369198300011,"He, Qing^Xie, Zhi^Xuan, Haijun^Liu, Lulu^Hong, Weirong",Multi-blade effects on aero-engine blade containment,AEROSPACE SCIENCE AND TECHNOLOGY,2016,49,,1270-9638,101-111,"Northeastern Univ, Sch Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,2.057,3,信息学院,何庆,
WOS:000394632900016,"Hu, Haifeng^Li, Jin^Wang, Qi^Zhao, Xiaoliang",Surface plasmon modes in single mode fiber coated with silver films,OPTIK,2016,127,20,0030-4026,9269-9274,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.835,4,信息学院,胡海峰,
WOS:000388783800016,"Hu, Hai-feng^Sun, Si-jia^Lv, Ri-qing^Zhao, Yong",Design and experiment of an optical fiber micro bend sensor for respiration monitoring,SENSORS AND ACTUATORS A-PHYSICAL,2016,251,,0924-4247,126-133,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,2.499,3,信息学院,胡海峰,
WOS:000388832600013,"Hu, Haifeng^Li, Jin^Li, Hanyang^Lv, Riqing",Research on the glucose-sensing characteristics of gold microparticle-doped silica microfiber based on refractive index measurement,APPLIED PHYSICS B-LASERS AND OPTICS,2016,122,11,0946-2171,-,"Northeastern Univ, Coll Informat Sci & Engn, 11,Lane 3,Wenhua Rd, Shenyang 110819, Peoples R China",Article,1.696,3,信息学院,胡海峰,
WOS:000386254600026,"Hu, Haifeng^Zeng, Xie^Zhao, Yong^Li, Jin^Song, Haomin^Song, Guofeng^Xu, Yun^Gan, Qiaoqiang",Unidirectional Coupling of Surface Plasmon Polaritons by a Single Slit on a Metal Substrate,IEEE PHOTONICS TECHNOLOGY LETTERS,2016,28,21,1041-1135,2395-2398,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,2.375,3,信息学院,胡海峰,
WOS:000379603200005,"Hu, Hai-feng^Zhao, Yong^Zhang, Ya-nan^Yang, Yang",Characterization of infrared gas sensors employing hollow-core photonic crystal fibers,INSTRUMENTATION SCIENCE & TECHNOLOGY,2016,44,5,1073-9149,495-503,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.874,4,信息学院,胡海峰,
WOS:000388619200016,"Wang, Peng^Xie, Zhi^Hu, Zhenwei",Study on the Multi-wavelength Emissivity of GCr15 Steel and its Application on Temperature Measurement for Continuous Casting Billets,INTERNATIONAL JOURNAL OF THERMOPHYSICS,2016,37,12,0195-928X,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.745,4,信息学院,胡振伟,
WOS:000367485300013,"Huang, Min^Ren, Liang^Lee, Loo Hay^Wang, Xingwei^Kuang, Hanbin^Shi, Haibo",Model and algorithm for 4PLRP with uncertain delivery time,INFORMATION SCIENCES,2016,330,,0020-0255,211-225,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Liaoning, Peoples R China",Article,4.832,2,信息学院,黄敏,
WOS:000367777000005,"Huang, Min^Qian, Xiaohu^Fang, Shu-Cherng^Wang, Xingwei",Winner determination for risk aversion buyers in multi-attribute reverse auction,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2016,59,,0305-0483,184-200,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Liaoning, Peoples R China",Article,4.029,1,信息学院,黄敏,
WOS:000368953600021,"Guo, Yandong^Huang, Min^Wang, Qing^Leon, V. Jorge",Single-machine rework rescheduling to minimize maximum waiting-times with fixed sequence of jobs and ready times,COMPUTERS & INDUSTRIAL ENGINEERING,2016,91,,0360-8352,262-273,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,2.623,3,信息学院,黄敏,
WOS:000386741300003,"Hui, Guotao^Xie, Xiangpeng",Novel observer-based output feedback control synthesis of discrete-time nonlinear control systems via a fuzzy approach,NEUROCOMPUTING,2016,214,,0925-2312,16-22,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,3.317,2,信息学院,会国涛,
WOS:000383705700016,"Jia, Runda^Mao, Zhizhong^Wang, Fuli",SELF-CORRECTING MODIFIER-ADAPTATION STRATEGY FOR BATCH-TO-BATCH OPTIMIZATION BASED ON BATCH-WISE UNFOLDED PLS MODEL,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2016,94,9,0008-4034,1770-1782,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,1.356,4,信息学院,贾润达,
WOS:000376331900022,"Jia, Runda^Mao, Zhizhong^Wang, Fuli^He, Dakuo",Sequential and Orthogonalized Partial Least-Squares Model Based Real-Time Final Quality Control Strategy for Batch Processes,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2016,55,19,0888-5885,5654-5669,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,2.843,2,信息学院,贾润达,
WOS:000381436200006,"Jia, Tong^Wang, BingNan^Zhou, ZhongXuan^Meng, Haixiu",Scene Depth Perception Based on Omnidirectional Structured Light,IEEE TRANSACTIONS ON IMAGE PROCESSING,2016,25,9,1057-7149,4369-4378,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,4.828,2,信息学院,贾同,
WOS:000378567600004,"Zhang, Huifeng^Jing, Yuanwei^Wei, Xinjiang",Composite anti-disturbance control for a class of uncertain nonlinear systems via a disturbance observer,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,2016,38,6,0142-3312,648-656,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,1.049,4,信息学院,井元伟,
WOS:000388332600050,"Yu, Hongxia^Xie, Xiangpeng^Zhang, Jiawei^Ning, Donghong^Jing, Yuan-Wei",Relaxed Fuzzy Observer-Based Output Feedback Control Synthesis of Discrete-Time Nonlinear Control Systems,COMPLEXITY,2016,21,S1,1076-2787,593-601,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,4.621,2,信息学院,井元伟,
WOS:000389303000014,"Lang, Jin^Zhao, Jiao",Modeling and optimization for oil well production scheduling,CHINESE JOURNAL OF CHEMICAL ENGINEERING,2016,24,10,1004-9541,1423-1430,"Northeastern Univ, Inst Ind Engn & Logist Optimizat, Shenyang 110819, Peoples R China",Article,1.174,4,信息学院,郎劲,
WOS:000366458700033,"Li, Jin^Liu, Changxuan^Hu, Haifeng^Wang, Qi^Zhao, Yong",Ag micro-spheres doped silica fiber used as a miniature refractive index sensor,SENSORS AND ACTUATORS B-CHEMICAL,2016,223,,0925-4005,241-245,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,5.401,1,信息学院,李晋,
WOS:000384390900004,"Li, Ranran^Shi, Huaitao",Robust Decentralized Output Regulation of Heterogeneous Uncertain Linear Systems with Multiple Leaders via Distributed Adaptive Protocols,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2016,14,5,1598-6446,1183-1194,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.687,4,信息学院,李冉冉,
WOS:000379934500010,"Li, Xiao-Jian^Yang, Guang-Hong",Fault detection and isolation for uncertain closed-loop systems based on adaptive and switching approaches,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,2016,26,13,1049-8923,2916-2937,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Liaoning, Peoples R China",Article,3.393,2,信息学院,李霄剑,
WOS:000367144300016,"Li, Xiao-Jian^Yang, Guang-Hong",FLS-Based Adaptive Synchronization Control of Complex Dynamical Networks With Nonlinear Couplings and State-Dependent Uncertainties,IEEE TRANSACTIONS ON CYBERNETICS,2016,46,1,2168-2267,171-180,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,7.384,1,信息学院,李霄剑,
WOS:000383818800032,"Li, Xu^Zhang, Lu","Comments on """"Stability of linear time invariant fractional delay systems of retarded type in the space of delay parameters [Automatica 49 (2013) 1287-129",AUTOMATICA,2016,72,,0005-1098,253-254,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Editorial Material,5.451,2,信息学院,李旭光,
WOS:000367819500019,"Zhang, Wenle^Liu, Jianchang",Ultra-fast consensus of discrete-time multi-agent systems with multi-step predictive output feedback,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2016,47,6,0020-7721,1465-1479,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,2.285,3,信息学院,刘建昌,
WOS:000388912600031,"Shang, Liangliang^Liu, Jianchang^Zhang, Yingwei",Recursive Fault Detection and Identification for Time-Varying Processes,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2016,55,46,0888-5885,1214-1216,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,2.843,2,信息学院,刘建昌,
WOS:000377727100001,"Ming, Pingsong^Liu, Jianchang^Tan, Shubin^Li, Songhua^Shang, Liangliang^Yu, Xia","Consensus stabilization in stochastic multi-agent systems with Markovian switching topology, noises and delay",NEUROCOMPUTING,2016,200,,0925-2312,1-10,"Northeastern Univ, Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,3.317,2,信息学院,刘建昌,
WOS:000381587700007,"Wang, Guozhu^Liu, Jianchang^Li, Yuan^Zhang, Cheng",Fault diagnosis of chemical processes based on partitioning PCA and variable reasoning strategy,CHINESE JOURNAL OF CHEMICAL ENGINEERING,2016,24,7,1004-9541,869-880,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.174,4,信息学院,刘建昌,
WOS:000368829800018,"Jiang, YuLian^Liu, JianChang^Wang, ShenQuan",Robust Integral Sliding-Mode Consensus Tracking for Multi-Agent Systems with Time-Varying Delay,ASIAN JOURNAL OF CONTROL,2016,18,1,1561-8625,224-235,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.421,3,信息学院,刘建昌,
WOS:000384390900008,"Liu, Jianchang^Ming, Pingsong^Li, Songhua",Consensus Gain Conditions of Stochastic Multi-agent System with Communication Noise,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2016,14,5,1598-6446,1223-1230,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,1.687,4,信息学院,刘建昌,
WOS:000376682700002,"Zhang, Wenle^Liu, Jianchang^Wang, Honghai",Multi-tracking control of heterogeneous multi-agent systems with single-input-single-output based on complex frequency domain analysis,IET CONTROL THEORY AND APPLICATIONS,2016,10,8,1751-8644,861-868,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,2.536,3,信息学院,刘建昌,
WOS:000378636900005,"Yu, Miao^Liu, Jianchang",Subspace identification for a stochastic model of plague,INTERNATIONAL JOURNAL OF BIOMATHEMATICS,2016,9,5,1793-5245,-,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,1.05,3,信息学院,刘建昌,
WOS:000385600000075,"Liu, Jinhai^Su, Hanguang^Ma, Yanjuan^Wang, Gang^Wang, Yuan^Zhang, Kun",Chaos characteristics and least squares support vector machines based online pipeline small leakages detection,CHAOS SOLITONS & FRACTALS,2016,91,,0960-0779,656-669,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,1.455,3,信息学院,刘金海,
WOS:000371063200001,"Qin, Shujin^Liu, Shixin^Kuang, Hanbin",Piecewise Linear Model for Multiskilled Workforce Scheduling Problems considering Learning Effect and Project Quality,MATHEMATICAL PROBLEMS IN ENGINEERING,2016,,,1024-123X,-,"Northeastern Univ, Coll Informat Sci & Engn, 3-11 Wenhua Rd, Shenyang 110819, Peoples R China",Article,0.802,4,信息学院,刘士新,
WOS:000379976200012,"Liu, Xiuchong^Wang, Zhanshan^Chu, Enhui^Zhang, Huaguang",Partial boundedness analysis: a state-space transformation method for reshaping the estimated domain of stability,IET CONTROL THEORY AND APPLICATIONS,2016,10,11,1751-8644,1307-1313,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,2.536,3,信息学院,刘秀翀,
WOS:000378516000015,"Liu, Yan^Wang, Fuli^Chang, Yuqing",Operating optimality assessment and nonoptimal cause identification for multimode industrial process with transitions,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2016,94,7,0008-4034,1342-1353,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China",Article,1.356,4,信息学院,刘炎,
WOS:000377150600010,"Liu, Yan^Wang, Fuli^Chang, Yuqing^Ma, Ruicheng^Zhang, Shumei",Multiple Hypotheses Testing-Based Operating Optimality Assessment and Nonoptimal Cause Identification for Multiphase Uneven-Length Batch Processes,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,2016,55,21,0888-5885,6133-6144,"Northeastern Univ, Coll Informat Sci & Engn, 3 Lane 11,Wenhua Rd, Shenyang 110819, Liaoning, Peoples R China",Article,2.843,2,信息学院,刘炎,
WOS:000371101700002,"Liu, Yan^Wang, Fuli^Chang, Yuqing",Operating optimality assessment based on optimality related variations and nonoptimal cause identification for industrial processes,JOURNAL OF PROCESS CONTROL,2016,39,,0959-1524,11-20,"Northeastern Univ, Coll Informat Sci & Engn, 3 Lane 11,Wenhua Rd, Shenyang 110819, Liaoning, Peoples R China",Article,2.7,2,信息学院,刘炎,
WOS:000380028700027,"Long, Lijun^Zhao, Jun",An Integral-Type Multiple Lyapunov Functions Approach for Switched Nonlinear Systems,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,2016,61,7,0018-9286,1979-1986,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,4.27,2,信息学院,龙离军,
WOS:000372740400020,"Long, Lijun^Zhao, Jun",Practical output tracking of switched nonlinear systems in p-normal form with unstable subsystems,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2016,47,11,0020-7721,2709-2721,"Northeastern Univ, Coll Informat Sci & Engn, State Key Lab Synthet Automat Proc Ind, Shenyang, Peoples R China",Article,2.285,3,信息学院,龙离军,
